Employee ,Department , Date ,Salary ($),Sales Amount,Target, Skills
Rohan Patel,SALES,2027-06-11,"58000",561000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,12/06/2027,"₹60,500",147000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,13-Jun-2027,"₹72,000",271000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,2027/06/14,"65000",179000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,15-06-2027,"₹68,500",245000,75000,"SQL; Python"
Anaya Patel,Sales,16/06/2027,"₹64,000",319000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2027-06-17,"₹57,000",173000,70000,"Excel; Power BI"
Riya Joshi,Marketing,18-Jun-2027,"₹73,000",276000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,2027-06-19,"₹71,500",181000,76000,"SQL; Excel"
Meera Mehta,FINANCE,20/06/2027,"₹66,000",267000,80000,"Python; Excel"
Aarav Shah,Sales,21-Jun-2027,"₹55,000",233000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,2027-06-22,"₹62,000",171000,70000,"Excel; Power BI"
Rohan Patel,sales,23/06/2027,"58000",598000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027-06-24,"₹60,500",151000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,25/06/2027,"₹72,000",281000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,26-Jun-2027,"65000",184000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,2027-06-27,"₹68,500",253000,75000,"SQL; Python"
Anaya Patel,Sales,28/06/2027,"₹64,000",328000,85000,"Python; Excel; SQL"
Dev Desai,Sales,29-Jun-2027,"₹57,000",177000,70000,"Excel; Power BI"
Riya Joshi,marketing,2027-06-30,"₹73,000",285000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,01/07/2027,"₹71,500",187000,76000,"SQL; Excel"
Meera Mehta,Finance,02-Jul-2027,"₹66,000",276000,80000,"Python; Excel"
Aarav Shah,SALES,2027-07-03,"₹55,000",239000,65000,"Python; Excel; SQL"
Priya Mehta,sales,04/07/2027,"₹62,000",175000,70000,"Excel; Power BI"
Rohan Patel,Sales,2027-07-05,"58000",634000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,06/07/2027,"₹60,500",155000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,07-Jul-2027,"₹72,000",289000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,2027/07/08,"65000",191000,70000,"Excel; SQL; Finance"
Kabir Mehta,finance,09-07-2027,"₹68,500",261000,75000,"SQL; Python"
Anaya Patel,Sales,10/07/2027,"₹64,000",337000,85000,"Python; Excel; SQL"
Dev Desai,Sales,2027-07-11,"₹57,000",181000,70000,"Excel; Power BI"
Riya Joshi,Marketing,12/07/2027,"₹73,000",294000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,13-Jul-2027,"₹71,500",194000,76000,"SQL; Excel"
Meera Mehta,FINANCE,2027-07-14,"₹66,000",285000,80000,"Python; Excel"
Aarav Shah,Sales,15/07/2027,"₹55,000",245000,65000,"Python; Excel; SQL"
Priya Mehta,Sales,2027-07-16,"₹62,000",179000,70000,"Excel; Power BI"
Rohan Patel,SALES,17/07/2027,"58000",672000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,2027-07-18,"₹60,500",159000,60000,"SEO; Excel; Canva"
Vikram Joshi,marketing,19/07/2027,"₹72,000",298000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,20-Jul-2027,"65000",197000,70000,"Excel; SQL; Finance"
Kabir Mehta,Finance,2027/07/21,"₹68,500",269000,75000,"SQL; Python"
Anaya Patel,Sales,22-07-2027,"₹64,000",346000,85000,"Python; Excel; SQL"
Dev Desai,Sales,23/07/2027,"₹57,000",185000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-07-24,"₹73,000",303000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,25/07/2027,"₹71,500",201000,76000,"SQL; Excel"
Meera Mehta,finance,2027-07-26,"₹66,000",294000,80000,"Python; Excel"
Aarav Shah,Sales,27-Jul-2027,"₹55,000",251000,65000,"Python; Excel; SQL"
Priya Mehta,sales,2027-07-28,"₹62,000",183000,70000,"Excel; Power BI"
Rohan Patel,Sales,29/07/2027,"58000",711000,75000,"SQL; Python; Power BI"
Neha Desai,Marketing,30-Jul-2027,"₹60,500",163000,60000,"SEO; Excel; Canva"
Vikram Joshi,Marketing,2027-07-31,"₹72,000",307000,80000,"Python; SQL; Tableau"
Isha Shah,Finance,01/08/2027,"65000",204000,70000,"Excel; SQL; Finance"
Kabir Mehta,FINANCE,02-Aug-2027,"₹68,500",277000,75000,"SQL; Python"
Anaya Patel,SALES,2027-08-03,"₹64,000",355000,85000,"Python; Excel; SQL"
Dev Desai,Sales,04/08/2027,"₹57,000",189000,70000,"Excel; Power BI"
Riya Joshi,Marketing,2027-08-05,"₹73,000",312000,82000,"SEO; Canva; Power BI"
Arjun Shah,Finance,06/08/2027,"₹71,500",208000,76000,"SQL; Excel"
Meera Mehta,Finance,07-Aug-2027,"₹66,000",303000,80000,"Python; Excel"
Aarav Shah,Sales,2027-08-08,"₹55,000",257000,65000,"Python; Excel; SQL"
